name,seed,PE_1h,PE_6h,PE_12h,PE_pers_1h,PE_st_6h,n_storm
lstm,42,0.9568650126457214,0.8816449642181396,0.8425160646438599,-1.1241068840026855,0.7770878076553345,932
lstm,43,0.9512696862220764,0.8662103414535522,0.8327817320823669,-1.399639129638672,0.7555410265922546,932
lstm,44,0.9593744874000548,0.8804430365562439,0.8366667032241821,-1.0005335807800293,0.806739866733551,932
lstm,45,0.9559211134910583,0.8883407115936279,0.8481387495994568,-1.1705892086029053,0.800032377243042,932
lstm,46,0.959623157978058,0.8860634565353394,0.8475025296211243,-0.9882891178131104,0.8295302391052246,932
lstm,47,0.9452428817749025,0.876301109790802,0.8337944746017456,-1.6964194774627686,0.8100742101669312,932
lstm,48,0.9584238529205322,0.8814791440963745,0.8365942239761353,-1.0473456382751465,0.7779163122177124,932
lstm,49,0.9501322507858276,0.881531834602356,0.8379088640213013,-1.4556515216827393,0.771725058555603,932
lstm,50,0.9602733850479126,0.8850617408752441,0.8394376635551453,-0.956268072128296,0.8342835903167725,932
lstm,51,0.9610270857810974,0.8807578682899475,0.8374242186546326,-0.9191527366638184,0.7421305179595947,932
lstm,52,0.9586023688316344,0.8788578510284424,0.8472402095794678,-1.038555145263672,0.7669474482536316,932
lstm,53,0.9507704973220824,0.8758808970451355,0.8404330015182495,-1.424220323562622,0.7902113199234009,932
lstm,54,0.956370770931244,0.884300947189331,0.8396023511886597,-1.1484460830688477,0.7922763824462891,932
lstm,55,0.9508894085884094,0.8759245872497559,0.830422580242157,-1.4183650016784668,0.7863637208938599,932
lstm,56,0.956666111946106,0.8858432769775391,0.8490784168243408,-1.1339025497436523,0.7852274179458618,932
transformer,42,0.9802271723747252,0.8997486233711243,0.8466228246688843,0.0263208746910095,0.8110564947128296,932
transformer,43,0.9782850742340088,0.8975707292556763,0.8449603319168091,-0.0693148374557495,0.8135641813278198,932
transformer,44,0.976922571659088,0.894393801689148,0.8382748365402222,-0.1364083290100097,0.7755786776542664,932
transformer,45,0.977944016456604,0.899485170841217,0.8561122417449951,-0.0861080884933471,0.7854229807853699,932
transformer,46,0.9796721339225768,0.8929822444915771,0.8519955277442932,-0.0010101795196533,0.7871494889259338,932
transformer,47,0.9813668727874756,0.8964594602584839,0.8397694230079651,0.0824440121650695,0.801445484161377,932
transformer,48,0.9747119545936584,0.890984058380127,0.8361318111419678,-0.2452658414840698,0.7926068902015686,932
transformer,49,0.9768760800361632,0.887957751750946,0.8456138372421265,-0.1386976242065429,0.801964521408081,932
transformer,50,0.978174328804016,0.8905090689659119,0.8292152881622314,-0.0747686624526977,0.7902013063430786,932
transformer,51,0.978435218334198,0.8898549675941467,0.8508694767951965,-0.0619213581085205,0.7841855883598328,932
transformer,52,0.9695502519607544,0.89960116147995,0.8448270559310913,-0.4994455575942993,0.8036503791809082,932
transformer,53,0.9780701994895936,0.8928871750831604,0.8430863618850708,-0.0798962116241455,0.7846424579620361,932
transformer,54,0.9777262210845948,0.8986672163009644,0.8469722270965576,-0.0968341827392578,0.8135608434677124,932
transformer,55,0.9824284315109252,0.8976945281028748,0.8589876890182495,0.1347179412841797,0.7940412163734436,932
transformer,56,0.9818178415298462,0.8921971321105957,0.8482085466384888,0.1046521663665771,0.8109282851219177,932
transformer_matched,42,0.9759511947631836,0.8909245133399963,0.8408723473548889,-0.1842406988143921,0.825031578540802,932
transformer_matched,43,0.9802282452583312,0.8974667191505432,0.8471164703369141,0.0263752341270446,0.8006867170333862,932
transformer_matched,44,0.9816429615020752,0.903764545917511,0.8561283349990845,0.0960400104522705,0.8311198949813843,932
transformer_matched,45,0.9814233779907228,0.8967220783233643,0.8495795726776123,0.0852253437042236,0.8051764369010925,932
